chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000BqR1w,University of Florida - Gator Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Gainesville,Florida,United States,27.86006157817676,-81.96265481737449,2026-06-19
a0M6g00000BqR21,University of South Florida - Tampa Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,TAMPA,Florida,United States,27.51451671794474,-81.74340297647859,2026-06-19
a0M6g00000BqR27,University of Miami,Primary Zone,Region 3,Collegiate Chapter,Chapter,Coral Gables,Florida,United States,28.09264133850023,-81.61955321273595,2026-06-19
a0M6g00000BqR2K,Florida Institute of Technology,Primary Zone,Region 3,Collegiate Chapter,Chapter,Melbourne,Florida,United States,28.06939525512015,-81.47373035907093,2026-06-19
a0M6g00000BqR2N,Bethune-Cookman University Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Daytona Beach,Florida,United States,27.743446121088706,-81.48744858552348,2026-06-19
a0M6g00000BqR2P,Embry-Riddle Aeronautical University Daytona Beach NSBE Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Daytona Beach,Florida,United States,27.42876474878389,-81.96038220226399,2026-06-19
a0M6g00000BqR5N,Florida Gulf Coast University,Primary Zone,Region 3,Collegiate Chapter,Chapter,Fort Myers,Florida,United States,27.996879030417915,-81.47901103817239,2026-06-19
a0M6g00000BqR5U,Tallahassee Nsbe Jr.,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,Tallahassee,Florida,United States,27.579127519376506,-81.66524428658067,2026-06-19
a0M6g00000BqRPJ,Mentoring Families and Kids NSBE Jr,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,Jacksonville,Florida,United States,27.84049007449001,-81.4293657323568,2026-06-19
a0M6g00000BqRgE,Florida Polytechnic University,Primary Zone,Region 3,Collegiate Chapter,Chapter,Lakeland,Florida,United States,27.83845401013711,-81.74798290150844,2026-06-19
a0M6g00000W35Hm,Central Florida Professionals,Professional Zone,Region 3,Professional Chapter,Chapter,Orlando,Florida,United States,27.678207830385027,-81.73866553953854,2026-06-19
a0M6g00000W35I0,South Florida Professionals NSBE Chapter,Professional Zone,Region 3,Professional Chapter,Chapter,Miramar,Florida,United States,27.872630717905984,-81.42953955777338,2026-06-19
